city,AQI,PM2.5/1h,PM2.5/10h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
淮安,112,36,97,0.72,21,221,169,15
淮北,95,32,89,0.4,10,193,152,9
怀化,60,30,68,0.62,6,162,101,10
淮南,119,19,53,0.24,10,189,179,9
黄冈,100,34,75,0.55,11,199,159,12
黄南州,42,12,22,0.8,6,91,82,5
黄山,50,18,40,0.23,12,112,99,5
黄石,93,43,85,0.95,21,193,122,15
呼和浩特,72,12,53,0.5,14,176,101,10
惠州,49,26,48,0.58,16,78,85,5
